AdID,Product,Company,AdType,Duration,Views,Clicks,CTR,ConversionRate,Cost,Description,Title,Tags
1001,Interactive Cat Toy Set,FunPlay,Pre-roll,30,10000,300,0.03,0.05,$500,Engage your cat with this interactive toy set,"Interactive Cat Toy Set","#Cats #Toys #Entertainment"
1002,Paris Vacation Package,Wanderlust Travel,Overlay,15,20000,800,0.04,0.06,$1000,Experience the beauty of Paris with our package,"Paris Vacation Package","#Travel #Vacation #Paris"
1003,Delicious Pizza Delivery,PizzaMasters,Banner,20,25000,900,0.0,0.0,$600,Satisfy your cravings with our delicious pizza delivery,"Delicious Pizza Delivery","#Pizza #Food #Delivery"
1004,Fitness Equipment Sale,FitPro,Pre-roll,25,3000,100,0.0,0.03,$200,Get fit with our discounted fitness equipment,"Fitness Equipment Sale","#Fitness #Exercise #Sale"
1005,TV,ScreenMasters,Mid-roll,30,4000,200,0.05,0.09,$1200,Upgrade your entertainment with our high-quality TVs,"TV","#TV #Electronics #Entertainment"
1006,Tablet,TabTech,Banner,4,1800,90,0.05,0.07,$400,Experience portable computing with our latest tablet,"Tablet","#Tablet #Technology #Computing"
1007,Camera,ShotMaster,Pre-roll,12,2500,125,0.05,0.1,$700,Capture memorable moments with our advanced camera,"Camera","#Camera #Photography #Technology"
1008,Speaker,AudioTech,Overlay,4,1200,60,0.05,0.11,$300,Immerse yourself in superior sound with our speakers,"Speaker","#Speaker #Audio #Sound"
1009,Game Console,PlayTech,Mid-roll,25,3500,175,0.05,0.08,$900,Unleash your gaming potential with our top-notch console,"Game Console","#Gaming #Console #Entertainment"
1010,Smart Home Device,HomeTech,Banner,2,1600,80,0.05,0.07,$450,Make your home smarter with our innovative devices,"Smart Home Device","#SmartHome #Technology #Automation"
1011,Printer,PrintMasters,Pre-roll,18,2800,140,0.05,0.09,$600,Print documents with ease using our high-performance printer,"Printer","#Printer #Office #Technology"
1012,Router,NetTech,Overlay,3,1300,65,0.05,0.1,$250,Stay connected with our reliable and fast routers,"Router","#Router #Internet #Networking"
1013,Car,AutoTech,Mid-roll,20,3200,160,0.05,0.08,$1100,Experience luxury and performance with our premium cars,"Car","#Car #Automobile #Luxury"
1014,Smart TV,ScreenTech,Banner,5,1400,70,0.05,0.07,$500,Enjoy a cinematic viewing experience with our smart TVs,"Smart TV","#TV #SmartTV #Entertainment"
1015,Drone,FlyTech,Pre-roll,14,2700,135,0.05,0.1,$800,Explore the skies with our advanced and maneuverable drones,"Drone","#Drone #AerialPhotography #Technology"
1016,Smart Speaker,SoundTech,Overlay,7,1100,55,0.05,0.09,$350,Control your music and smart devices with our intelligent speakers,"Smart Speaker","#Speaker #SmartHome #VoiceAssistant"
1017,Smart Fridge,KitchenTech,Mid-roll,22,3100,155,0.05,0.08,$1000,Keep your food fresh and organized with our smart fridges,"Smart Fridge","#SmartFridge #Kitchen #Appliances"
1018,Smartwatch,WatchTech,Banner,3,1300,65,0.05,0.07,$400,Stay connected and track your fitness with our stylish smartwatches,"Smartwatch","#Smartwatch #Fitness #WearableTech"
1019,Virtual Reality Headset,VRWorld,Pre-roll,16,2600,130,0.05,0.1,$700,Immerse yourself in virtual worlds with our cutting-edge headsets,"Virtual Reality Headset","#VR #VirtualReality #Gaming"
1020,Smartphone,XYZ Electronics,Overlay,3,1000,50,0.05,0.09,$300,Experience the latest technology with our feature-packed smartphones,"Smartphone","#Smartphone #Mobile #Technology"
